lema_pt	traducao_en	marcas_dicionario	motivo_tecnico	status_traducao
aberrar	aberrate	v. i. | lat.		
aberrativo	aberrant	adj. | neol.		
aberta	open	f. | as.		
aberta	opening	f. | as.		
aberta	break	f. | as.		
aberta	glade	f. | as.		
abertamente	openly	adv.		
abertamente	outright	adv.		
abertamente	barely	adv.		
abertamente	unreservedly	adv.		
abertamente	professedly	adv.		
abertamente	over the counter	adv.		
aberto	open	adj. | t. | m. | num. | Cf. | lat.		
aberto	gaping	adj. | t. | m. | num. | Cf. | lat.		
aberto	frank	adj. | t. | m. | num. | Cf. | lat.		
aberto	naked	adj. | t. | m. | num. | Cf. | lat.		
aberto	unclosed	adj. | t. | m. | num. | Cf. | lat.		
aberto	outstretched	adj. | t. | m. | num. | Cf. | lat.		
aberto	unobstructed	adj. | t. | m. | num. | Cf. | lat.		
aberto	staring	adj. | t. | m. | num. | Cf. | lat.		
aberto	outspread	adj. | t. | m. | num. | Cf. | lat.		
aberto	pervious	adj. | t. | m. | num. | Cf. | lat.		
aberto	inlet	adj. | t. | m. | num. | Cf. | lat.		
aberto	patent	adj. | t. | m. | num. | Cf. | lat.		
aberto	ingenuous	adj. | t. | m. | num. | Cf. | lat.		
aberto	plainspoken	adj. | t. | m. | num. | Cf. | lat.		
aberto	open-hearted	adj. | t. | m. | num. | Cf. | lat.		
abertoiras	openers	f. pl.		
abertona	open	f. | Náut.		
abertura	opening	f. | Mús. | ﬁg.		
abertura	aperture	f. | Mús. | ﬁg.		
abertura	openness	f. | Mús. | ﬁg.		
abertura	gap	f. | Mús. | ﬁg.		
abertura	slot	f. | Mús. | ﬁg.		
abertura	hole	f. | Mús. | ﬁg.		
abertura	vent	f. | Mús. | ﬁg.		
abertura	overture	f. | Mús. | ﬁg.		
abertura	slit	f. | Mús. | ﬁg.		
abertura	access	f. | Mús. | ﬁg.		
abertura	window	f. | Mús. | ﬁg.		
abertura	breach	f. | Mús. | ﬁg.		
abertura	passage	f. | Mús. | ﬁg.		
abertura	loophole	f. | Mús. | ﬁg.		
abertura	crevice	f. | Mús. | ﬁg.		
abertura	rift	f. | Mús. | ﬁg.		
abertura	candor	f. | Mús. | ﬁg.		
abertura	chink	f. | Mús. | ﬁg.		
abertura	bay	f. | Mús. | ﬁg.		
abertura	stoma	f. | Mús. | ﬁg.		
abertura	splay	f. | Mús. | ﬁg.		
abertura	hack	f. | Mús. | ﬁg.		
abertura	highroad crossing	f. | Mús. | ﬁg.		
abertura	cage	f. | Mús. | ﬁg.		
abertura	yawn	f. | Mús. | ﬁg.		
abertura	rent	f. | Mús. | ﬁg.		
abertura	candour	f. | Mús. | ﬁg.		
abesantar	abesantar	v. t.		sem_traducao
abesconinha	abesconinha	f. | prov.		sem_traducao
abeses	obese	m. pl. | Cf.		
abesoirar	abesoirar	v. t. | pop.		sem_traducao
abesoiro	abesoiro	m.		sem_traducao
abesourar	beetle	v. t. | pop.		
abesouro	beetle	m.		
abespa	abespa	f. | V.		sem_traducao
abespinhadamente	angrily	adv.		
abespinhado	annoyed	adj.		
abespinhar-se	to get annoyed	v. p.		
abesso	abesso	m. | Ant.		sem_traducao
abestruz	ostrich	m. | f.		
abestunto	abestunto	m. | Prov. trasm.		sem_traducao
abeta	abeta	f.		sem_traducao
abetarda	bustard	f.		
abetardado	berettered	adj.		
abete	beet	m. | lat.		
abeterno	abeterno	adv. | Cf. | loc. | lat.		sem_traducao
abeto	fir	m. | lat.		
abetoiro	ash tree	m.		
abetoninha	little fir	f.		
abetum	bitumen	m. | Ant.		
abetumado	pitched	adj. | Prov. trasm. | ﬁg. | Cf.		
abetumador	asphalter	m.		
abetumar	to coat	v. t.		
abexigar	bladder	v. t. | fam.		
abexim	abyssim	m. | Adj. | n. p.		
abezelgado	abezelgado	adj.		sem_traducao
abezerrado	calf-like	adj.		
abia	abia	f.		sem_traducao
abibe	abibe	f.		sem_traducao
abibe	lapwing	f.		
abibliotecar	library	v. t.		
abibliothecar	library	v. t.		
abicar	to beep	v. t. | v. i.		
abichar	abichar	v. t. | fam.		sem_traducao
abicheiro	bookmaker	m. | Prov. trasm. | Prov. beir. | lat. | hyp.		
abichornado	despondent	adj. | Bras. | Cp.		
abieiro	abieiro	m.		sem_traducao
abiético	abiotic	adj.		
abietina	abietina	f. | fem.		sem_traducao
abietíneas	abietines	f. pl.		
abietíneo	abietine	adj. | lat.		
abietino	abietino	adj.		sem_traducao
abieto	abortion	m.		
abiga	abiga	f.		sem_traducao
abigoiro	abigoiro	m. | Prov. beir. | Cp. | lat. | hyp.		sem_traducao
abilhamento	pile	m. | Ant.		
abilhar	billiards	v. t. | Ant. | fr.		
abinício	abinício	adv. | Cf. | lat.		sem_traducao
abio	bio	m.		
abiorama	abiorama	f. | Bras.		sem_traducao
abiótica	abiotic	f.		
abiótico	abiotic	adj. | gr.		
abipão	bipão	m.		
abirritaçao	irritation	f.		
abiscoitar	to grab a cookie	v. t. | fam. | Bras.		
abismado	astonished	adj.		
abismal	abysmal	adj.		
abismal	abyssal	adj.		
abismal	fathomless	adj.		
abismar	abysmal	v. t.		
abismo	abyss	m. | ﬁg. | b. lat.		
abismo	gulf	m. | ﬁg. | b. lat.		
abismo	chasm	m. | ﬁg. | b. lat.		
abismo	deep	m. | ﬁg. | b. lat.		
abismo	pit	m. | ﬁg. | b. lat.		
abismo	depths	m. | ﬁg. | b. lat.		
abismo	abysm	m. | ﬁg. | b. lat.		
abismo	precipice	m. | ﬁg. | b. lat.		
abismo	yawn	m. | ﬁg. | b. lat.		
abissal	abyssal	Adj. | as.		
abissínio	Abyssinian	m.		
abisso	abyss	m. | gr.		
abita	lives	f. | Náut. | germ.		
abitar	to live	v. t.		
abitílio	abitílio	m. | as. | corr.		sem_traducao
abitolar	narrow-minded	v. t.		
abitoninha	abitoninha	f. | Prov. beir.		sem_traducao
abivacar	abivacar	v. t. | Cf.		sem_traducao
abjecção	abjection	f. | lat.		
abjectamente	abjectly	adv.		
abjecto	abject	adj. | m. | lat.		
abjeição	abjection	f. | V.		
abjudicação	award	f. | lat.		
abjudicar	abjudicate	v. t. | lat.		
abjudicar	seize	v. t. | lat.		
abjugar	renounce	v. t.		
abjunção	abjunction	f. | lat.		
abjuncção	abjunction	f. | lat.		
abjuração	abjuration	f. | lat.		
abjuração	recantation	f. | lat.		
abjuração	apostasy	f. | lat.		
abjurador	abjurer	m.		
abjurante	abjuring	m. e adj.		
abjurar	abjure	v. | t. | lat.		
abjurar	recant	v. | t. | lat.		
abjurar	forswear	v. | t. | lat.		
abjuratório	abjuratory	adj.		
abjurgar	abjurgar	v. t. | lat.		sem_traducao
ablação	ablation	f. | Gram. | lat.		
ablação	excision	f. | Gram. | lat.		
ablactação	ablactation	f. | lat.		
ablactar	ablactar	v. t. | lat.		sem_traducao
ablamelares	ablamelares	f. pl. | Bot.	termo_tecnico_cientifico:Bot.	sem_traducao
ablamellares	ablamellares	f. pl. | Bot.	termo_tecnico_cientifico:Bot.	sem_traducao
ablaminares	ablaminar	f. pl.		
ablânia	ablania	f.		sem_traducao
ablaqueação	ablation	f. | lat.		
ablaquear	ablaquear	v. t. | as. | lat.		sem_traducao
ablaquecer	ablaquecer	v. t. | Ant.		sem_traducao
ablativo	ablative	adj. | m. | Gram.		
ablator	ablator	m.		sem_traducao
ablectos	affected	m. pl. | lat.		
ablefaria	ablepharia	f.		
abléfaro	ablepharo	adj. | gr.		
ablegação	abduction	f. | lat.		
ablegado	enabled	m. | lat.		
ablegar	ablegar	v. t. | lat.		sem_traducao
ableitar	to enable	v. t. | V.		
ablepharia	ablepharia	f.		sem_traducao
ablépharo	ablépharo	adj. | gr.		sem_traducao
ablução	ablution	f. | lat.		
ablução	washing	f. | lat.		
ablução	wash	f. | lat.		
abluente	blueing	adj. | m. | lat.		
abluir	abluir	v. t. | lat.		sem_traducao
abluir	wash	v. t. | lat.		
ablutor	ablutor	m. | lat.		sem_traducao
abnegação	abnegation	f. | lat.		
abnegação	austerity	f. | lat.		
abnegação	self-denial	f. | lat.		
abnegador	abnegator	m. | lat.		
abnegar	to renounce	v. t. | lat.		
abnegar	abnegate	v. t. | lat.		
abnegar	renounce	v. t. | lat.		
abneto	abneto	m. | V.		sem_traducao
aboamento	aboamento	m. | Carp.		sem_traducao
abóbada	dome	f. | as. | cast.		
abóbada	vault	f. | as. | cast.		
abóbada	arched roof	f. | as. | cast.		
abóbada	cope	f. | as. | cast.		
abobadado	vaulted	adj.		
abobadado	arched	adj.		
abobadar	vault	v. t.		
abobadar	cope	v. t.		
abobadar	arch	v. t.		
abobadilha	vault	f. | Prov. alent.		
abobadilheiro	fool	m. | Prov. alent.		
abobar-se	to be foolish	v. p.		
abóbeda	vault	f. | Ant. | V.		
abóbora	pumpkin	f. | ﬁg.		
abóbora	squash	f. | ﬁg.		
abóbora	gourd	f. | ﬁg.		
abóbora	cucurbit	f. | ﬁg.		
aboborado	pumpkin	adj. | ﬁg.		
aboboral	pumpkin	m.		
aboborar	pumpkin	v. t. | V. | Cf.		
aboboreira	pumpkin plant	f.		
aboborinha-do-mato	wild zucchini	f. | Bras.		
abobra	pumpkin	f. | der. | pop.		
abocador	mouthpiece	m.		
abocadura	mouthpiece	f.		
aboçamento	aboçamento	m.		sem_traducao
abocanhar	bite	v. t.		
abocanhar	snap	v. t.		
abocanhar	mouth	v. t.		
abocanhar	bite	v. i. | prov.		
abocanhar	snap	v. i. | prov.		
abocanhar	mouth	v. i. | prov.		
aboçar	to grab	v. t.		
abocetar	to boo	v. t.		
abochornado	bochornado	adj.		
abôço	arm	m. | Náut.		
abodegação	abodegação	f.		sem_traducao
abodegado	barn	adj. | Bras.		
abodegar	abodegar	v. t. | Bras. | n.		sem_traducao
abofé	abofé	adj. | Cf.		sem_traducao
aboiadinho	little cattle herder	adj. | t.		
aboiado	cattle herder	adj. | Pesc.		
aboiar	cattle herder	v. t. | v. i. | Cf.		
aboiar	cattle herder	v. t. | Açor.		
aboiar	cattle herder	v. t. | Prov. minh. | Bras. | v. i.		
aboio	cattle call	m. | Bras.		
aboís	aboís	f.		sem_traducao
aboíz	aboíz	f.		sem_traducao
abolar	abolar	v. t.		sem_traducao
abolar	abolar	v. t. | Ant.		sem_traducao
aboldriar-se	aboldriar se	v. p.		
aboleimado	aboleimado	adj.		sem_traducao
aboleimar	aboleimar	v. t.		sem_traducao
aboleirar	aboleirar	v. t. | Prov. minh.		sem_traducao
aboletamento	lodging	m.		
aboletar	billet	v. t.		
abolição	abolition	f. | lat.		
abolição	abolishing	f. | lat.		
abolição	abolishment	f. | lat.		
abolição	suppression	f. | lat.		
abolição	abrogation	f. | lat.		
abolição	annulment	f. | lat.		
abolição	rescission	f. | lat.		
abolicionismo	abolitionism	m. | lat.		
abolicionista	abolitionist	m. | lat.		
abolicionista	emancipationist	m. | lat.		
abolimento	abolishment	m.		
abolinar	abolish	v. i.		
abolir	abolish	v. t. | lat.		
abolir	do away	v. t. | lat.		
abolir	stop	v. t. | lat.		
abolir	abrogate	v. t. | lat.		
abolir	rid	v. t. | lat.		
abolir	rescind	v. t. | lat.		
abolir	annul	v. t. | lat.		
abolir	nullify	v. t. | lat.		
abolorecer	to mold	v. i.		
abolorecido	moldy	adj.		
abolório	abolório	m. | Ant. | Cp. | cast.		sem_traducao
abómaso	abomasum	m. | lat.		
abomba	bomb	f. | Prov. alent. | Cf. | rev.		
abombado	pumped up	adj. | Bras.		
abombar	bombar	v. | Bras.		
abominábil	abominable	adj. | Ant. | V.		
abominação	abomination	f. | lat.		
abominadôr	abominator	m.		
abominando	abhorring	adj. | lat.		
abominar	abhor	v. t. | lat.		
abominar	loathe	v. t. | lat.		
abominar	abominate	v. t. | lat.		
abominar	hate	v. t. | lat.		
abominar	detest	v. t. | lat.		
abominário	abominable	m. | Ant.		
abominável	abominable	adj. | lat.		
abominável	heinous	adj. | lat.		
abominável	infamous	adj. | lat.		
abominável	nefarious	adj. | lat.		
abominável	hateful	adj. | lat.		
abominável	foul	adj. | lat.		
abominável	odious	adj. | lat.		
abominável	atrocious	adj. | lat.		
abominável	accursed	adj. | lat.		
abominável	accurst	adj. | lat.		
abominavelmente	abominably	adv.		
abominavelmente	foully	adv.		
abominavelmente	abhorrently	adv.		
abominavelmente	damnably	adv.		
abomínio	abomination	m. | Cf.		
abominosamente	abominably	adv.		
abominoso	abominable	adj.		
abonação	guarantee	f.		
abonadamente	generously	adv.		
abonado	paid	adj.		
abonador	guarantor	m. e adj.		
abonador	warrantor	m. e adj.		
abonador	sponsor	m. e adj.		
abonador	guarantee	m. e adj.		
abonador	voucher	m. e adj.		
abonamento	bonus	m.		
abonançar	to provide a bonus	v. t.		
abonar	to guarantee	v. t. | Mús. | Ant.		
abonar	accredit	v. t. | Mús. | Ant.		
abonar	guarantee	v. t. | Mús. | Ant.		
abonatório	bonus	adj.		
abonaxi	abonaxi	m.		sem_traducao
abondança	abundance	f. | des. | Cf. | V.		
abondar	abandon	v. t. | Prov. trasm.		
abondo	abandonment	adj. | Ant.		
abonecado	doll	adj. | Cf.		
abono	allowance	m. | Mús. | Ant.		
aboquejar	to bite	v. t. | Prov. trasm.		
aboquejos	aboquejos	m. pl. | Prov. trasm. | Cp.		sem_traducao
aborbitar	abort	v. i. | Ant.		
aborbulhar	bubbling	v. i.		
aborcar	abort	v. t.		
abordada	addressed	f.		
abordador	approach	m. e adj.		
abordagem	approach	f.		
abordar	address	v. t.		
abordar	approach	v. t.		
abordar	broach	v. t.		
abordar	board	v. t.		
abordar	accost	v. t.		
abordar	grapple	v. t.		
abordar	address	v. t. | Gal. | fr.		
abordar	approach	v. t. | Gal. | fr.		
abordar	broach	v. t. | Gal. | fr.		
abordar	board	v. t. | Gal. | fr.		
abordar	accost	v. t. | Gal. | fr.		
abordar	grapple	v. t. | Gal. | fr.		
abordável	approachable	adj.		
abordo	on board	m.		
abordoar	to approach	v. t. | V. | p.		
aborígine	Aboriginal	adj. | m. | pl. | lat.		
abornalar	abornalar	v. t. | V.		sem_traducao
aborrascar-se	to get bored	v. p.		
aborrecedor	annoying	m. e adj.		
aborrecer	annoy	v. t.		
aborrecer	bore	v. t.		
aborrecer	bother	v. t.		
aborrecer	hate	v. t.		
aborrecer	trouble	v. t.		
aborrecer	vex	v. t.		
aborrecer	bug	v. t.		
aborrecer	irk	v. t.		
aborrecer	loathe	v. t.		
aborrecer	spite	v. t.		
aborrecer	tire	v. t.		
aborrecer	badger	v. t.		
aborrecer	pester	v. t.		
aborrecer	plague	v. t.		
aborrecer	molest	v. t.		
aborrecer	displease	v. t.		
aborrecer	hump	v. t.		
aborrecer	offend	v. t.		
aborrecer	disgust	v. t.		
aborrecer	distaste	v. t.		
aborrecer	leech	v. t.		
aborrecer	blister	v. t.		
aborrecer	fash	v. t.		
aborrecer	feeze	v. t.		
aborrecer	importune	v. t.		
aborrecer	nettle	v. t.		
aborrecer	pique	v. t.		
aborrecer	put about	v. t.		
aborrecer	torment	v. t.		
aborrecer	burst with anger	v. t.		
aborrecidamente	annoyingly	adv.		
aborrecido	bored	adj.		
aborrecido	boring	adj.		
aborrecido	dull	adj.		
aborrecido	annoyed	adj.		
aborrecido	dreary	adj.		
aborrecido	disgusted	adj.		
aborrecido	tedious	adj.		
aborrecido	bothersome	adj.		
aborrecido	vexed	adj.		
aborrecido	pesky	adj.		
aborrecido	worried	adj.		
aborrecido	tiresome	adj.		
aborrecido	grouchy	adj.		
aborrecido	tired	adj.		
aborrecido	troublesome	adj.		
aborrecido	jaded	adj.		
aborrecido	wearisome	adj.		
aborrecido	irksome	adj.		
aborrecido	sulky	adj.		
aborrecido	unpleasant	adj.		
aborrecido	vexing	adj.		
aborrecido	morose	adj.		
aborrecido	dullish	adj.		
aborrecido	worrisome	adj.		
aborrecido	drab	adj.		
aborrecido	damnable	adj.		
aborrecido	tiring	adj.		
aborrecido	soporific	adj.		
aborrecido	provoking	adj.		
aborrecido	horrid	adj.		
aborrecido	beastly	adj.		
aborrecido	meddler	adj.		
aborrecido	mumpish	adj.		
aborrecido	outworn	adj.		
aborrecido	pernickety	adj.		
aborrecido	prose	adj.		
aborrecido	worn-out	adj.		
aborrecimento	annoyance	m.		
aborrecimento	boredom	m.		
aborrecimento	nuisance	m.		
aborrecimento	trouble	m.		
aborrecimento	bother	m.		
aborrecimento	botheration	m.		
aborrecimento	unpleasantness	m.		
aborrecimento	ennui	m.		
aborrecimento	vexation	m.		
aborrecimento	bore	m.		
aborrecimento	weariness	m.		
aborrecimento	caliber	m.		
aborrecimento	tedium	m.		
aborrecimento	inconvenience	m.		
aborrecimento	resentment	m.		
aborrecimento	satiety	m.		
aborrecimento	phew	m.		
aborrecimento	calibre	m.		
aborrecível	boring	adj.		
aborregado	bored	adj. | Geol. | Cf.	termo_tecnico_cientifico:Geol.	
aborridamente	boring	adv.		
aborrido	bored	adj.		
aborrimento	boredom	m.		
aborrir	annoy	v. t. | lat.		
aborrível	boring	adj.		
aborso	abortion	m. | p. us. | p. | b. lat.		
abortamento	abortion	m.		
abortar	abort	v. t. | v. i. | Ant. | lat.		
abortar	miscarry	v. t. | v. i. | Ant. | lat.		
abortar	slip	v. t. | v. i. | Ant. | lat.		
abortício	abortion	adj.		
abortífero	abortive	adj. | Cf.		
abortivo	abortive	m. | Adj. | Cf. | lat.		
abôrto	abortion	m. | lat.		
abossadura	embossadura	f.		
abostelar	abostelar	v. i.		sem_traducao
abostellado	bustled	adj.		
abostellar	abostellar	v. i.		sem_traducao
abotinado	ankle boots	adj.		
abotinar	to boot	v. t.		
abotoação	buttoning	m.		
abotoadeira	buttonhole	f.		
abotoado	buttoned	adj.		
abotoador	buttonholer	m.		
abotoadura	cufflink	f.		
abotoar	button	v. t. | v. i. | V. | p. | Bras. | Cf. | fam.		
abotocadura	cufflinks	f. | Náut. | as.		
abotocar	button	v. t. | Náut.		
aboucar	aboucar	v. t. | Prov. trasm.		sem_traducao
abougar	abougar	v. i. | t.		sem_traducao
abouvila	abouvila	f. | Ant.		sem_traducao
abovila	abovila	f.		sem_traducao
abovilla	abovilla	f.		sem_traducao
abra	open	f. | cast.		
abraçada	embraced	f. | prov.		
abracadabra	abracadabra	m.		sem_traducao
abraçadeira	clamp	f.		
abraçador	hugger	m.		
abraçamento	hug	m.		
abraçar	to hug	v. | t. | ﬁg. | p. | f.		
abraçar	embrace	v. | t. | ﬁg. | p. | f.		
abraçar	hug	v. | t. | ﬁg. | p. | f.		
abraçar	cuddle	v. | t. | ﬁg. | p. | f.		
abraçar	enfold	v. | t. | ﬁg. | p. | f.		
abraçar	clasp	v. | t. | ﬁg. | p. | f.		
abraçar	cling	v. | t. | ﬁg. | p. | f.		
abraçar	squeeze	v. | t. | ﬁg. | p. | f.		
abraçar	fold	v. | t. | ﬁg. | p. | f.		
abraçar	enlace	v. | t. | ﬁg. | p. | f.		
abraçar	neck	v. | t. | ﬁg. | p. | f.		
abraçar	wind	v. | t. | ﬁg. | p. | f.		
abraçar	nestle	v. | t. | ﬁg. | p. | f.		
abraçar	embosom	v. | t. | ﬁg. | p. | f.		
abraçar	enclasp	v. | t. | ﬁg. | p. | f.		
abraçar	inlace	v. | t. | ﬁg. | p. | f.		
abraçar	inarm	v. | t. | ﬁg. | p. | f.		
abraçar	bosom	v. | t. | ﬁg. | p. | f.		
abrachia	abrachia	f. | Cp.		sem_traducao
abráchio	hug	m. | gr.		
abrachiocephalia	brachiocephalic	f. | Terat.	termo_tecnico_cientifico:Terat.	
abrachiocéphalo	abrachiocephalus	m. | Terat. | gr.	termo_tecnico_cientifico:Terat.	
abraço	hug	m.		
abraço	embrace	m.		
abraço	cuddle	m.		
abraço	squeeze	m.		
abraço	clasp	m.		
abraço	accolade	m.		
abraêmo	Abraham	m.		
abrahâmico	Abrahamic	adj.		
abrancaçado	bleached	adj. | Prov. minh. | Cf.		
abrandamento	easing	m.		
abrandamento	relaxation	m.		
abrandamento	softening	m.		
abrandamento	deceleration	m.		
abrandamento	mitigation	m.		
abrandamento	subsidence	m.		
abrandamento	mollification	m.		
abrandar	slow down	v. t. | ﬁg. | v. i.		
abrandar	mitigate	v. t. | ﬁg. | v. i.		
abrandar	soften	v. t. | ﬁg. | v. i.		
abrandar	ease	v. t. | ﬁg. | v. i.		
abrandar	relax	v. t. | ﬁg. | v. i.		
abrandar	slacken	v. t. | ﬁg. | v. i.		
abrandar	decelerate	v. t. | ﬁg. | v. i.		
abrandar	reduce	v. t. | ﬁg. | v. i.		
abrandar	soothe	v. t. | ﬁg. | v. i.		
abrandar	moderate	v. t. | ﬁg. | v. i.		
abrandar	relieve	v. t. | ﬁg. | v. i.		
abrandar	relent	v. t. | ﬁg. | v. i.		
abrandar	diminish	v. t. | ﬁg. | v. i.		
abrandar	slake	v. t. | ﬁg. | v. i.		
abrandar	appease	v. t. | ﬁg. | v. i.		
abrandar	mellow	v. t. | ﬁg. | v. i.		
abrandar	flatten	v. t. | ﬁg. | v. i.		
abrandar	calm down	v. t. | ﬁg. | v. i.		
abrandar	fall	v. t. | ﬁg. | v. i.		
abrandar	quiet	v. t. | ﬁg. | v. i.		
abrandar	mutate	v. t. | ﬁg. | v. i.		
abrandar	dilute	v. t. | ﬁg. | v. i.		
abrandar	modify	v. t. | ﬁg. | v. i.		
abrandar	season	v. t. | ﬁg. | v. i.		
abrandar	extenuate	v. t. | ﬁg. | v. i.		
abrandar	deaden	v. t. | ﬁg. | v. i.		
abrandar	attemper	v. t. | ﬁg. | v. i.		
abrandar	pass off	v. t. | ﬁg. | v. i.		
abrandar	unbend	v. t. | ﬁg. | v. i.		
abrandar	unbrace	v. t. | ﬁg. | v. i.		
abrandar	voice	v. t. | ﬁg. | v. i.		
abrandecer	soften	v. t. | V.		
abranger	to encompass	v. t. | Prov. beir. | lat.		
abranger	include	v. t. | Prov. beir. | lat.		
abranger	embrace	v. t. | Prov. beir. | lat.		
abranger	comprise	v. t. | Prov. beir. | lat.		
abranger	reach	v. t. | Prov. beir. | lat.		
abranger	comprehend	v. t. | Prov. beir. | lat.		
abranger	compass	v. t. | Prov. beir. | lat.		
abraquia	abraquia	f. | Cp.		sem_traducao
abráquio	Abraquio	m. | gr.		sem_traducao
abraquiocefalia	brachycephaly	f. | Terat.	termo_tecnico_cientifico:Terat.	
abraquiocéfalo	brachycephalic	m. | Terat. | gr.	termo_tecnico_cientifico:Terat.	
abrasadamente	fiercely	adv.		
abrasador	scorching	adj.		
abrasador	burning	adj.		
abrasador	parching	adj.		
abrasador	torrid	adj.		
abrasador	sweaty	adj.		
abrasador	tropical	adj.		
abrasador	tropic	adj.		
abrasamento	abrasion	m.		
abrasante	abrasive	adj.		
abrasão	abrasion	f. | Cir. | lat.	termo_tecnico_cientifico:Cir.	
abrasão	attrition	f. | Cir. | lat.	termo_tecnico_cientifico:Cir.	
abrasar	burn	v. t. | ﬁg.		
abrasar	be on fire	v. t. | ﬁg.		
abrasar	erode	v. t. | ﬁg.		
abrasear	burn	v. t. | Cf.		
abrasileirado	Brazilianized	adj.		
abrasileirar	to Brazilianize	v. t.		
abrasoar	abrade	v. t.		
abrasonar	abrasion	v. t. | Cf. | al.		
abrastol	abrastol	m.		sem_traducao
abraxas	abraxas	m. pl.		sem_traducao
abrazite	abrazite	f.		sem_traducao
abre-boca	open mouth	m.		
abre-ilhós	eyelet opener	m.		
abrecu	abrecu	m. | Prov. dur.		sem_traducao
ábrego	shelter	m. | Ant. | lat.		
abrejeirado	abbreviated	adj.		
abrenhar	to entwine	v. t. | V.		
abrenunciação	abbreviation	f.		
abrenunciar	report	v. t.		
abrenúncio!	abrenunciation!	interj. | lat.		
abreptício	abbreviation	adj. | lat.		
abretanhado	abbreviated	adj.		
abreu	abreu	m. | Bras.		sem_traducao
abrevar	abrevar	v. t. | Ant. | Cf. | v. i. | loc. | cit. | f. | V. | fr.		sem_traducao
abreviação	abbreviation	f.		
abreviação	abridgment	f.		
abreviação	shortening	f.		
abreviação	abridgement	f.		
abreviação	condensation	f.		
abreviadamente	in short	adj.		
abreviado	abbreviated	adj.		
abreviado	for short	adj.		
abreviador	abbreviation	m.		
abreviamento	abbreviation	m.		
abreviar	abbreviate	v. t. | lat.		
abreviar	shorten	v. t. | lat.		
abreviar	abridge	v. t. | lat.		
abreviativo	abbreviation	adj.		
abreviatura	abbreviation	f.		
abricó	apricot	m. | fr.		
abricoqueiro	apricot tree	m.		
abricote	apricot	m. | fr.		
abricoteiro	apricot tree	m.		
